ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Comment,DateTime,LogFileName,Parameters
0,HD,atom,1,2.0,test,Training - fixed,First session,2023-10-06 12:49:44.174442,Experiment_2023-10-06T12:49:44.174442_atom_2_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 8, ""TRIAL_SOUND_DURATION"": 1}"
1,HD,ash,2,2.0,test,Training - fixed,Pos = Right,2023-10-06 13:21:53.770221,Experiment_2023-10-06T13:21:53.770221_ash_2_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 8, ""TRIAL_SOUND_DURATION"": 1}"
2,HD,mowgli,3,1.0,test,Training - fixed,Positive = LEFT,2023-10-06 14:14:41.653330,Experiment_2023-10-06T14:14:41.653330_mowgli_1_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 8, ""TRIAL_SOUND_DURATION"": 1}"
3,HD,teddy,4,1.0,test,Training - fixed,Positive = RIGHT,2023-10-06 14:48:40.419276,Experiment_2023-10-06T14:48:40.419276_teddy_1_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 8, ""TRIAL_SOUND_DURATION"": 1}"
4,HD,dodge,5,1.0,test,Training - fixed,Positive = LEFT,2023-10-06 15:37:08.619329,Experiment_2023-10-06T15:37:08.619329_dodge_1_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 8, ""TRIAL_SOUND_DURATION"": 1}"
5,HD,filly,6,4.0,test,Training - fixed,Positive = RIGHT start positive at trial 9,2023-10-06 16:43:49.516057,Experiment_2023-10-06T16:43:49.516057_filly_4_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 8, ""TRIAL_SOUND_DURATION"": 1}"
6,HD,dougie,7,1.0,test,Training - fixed,Positive = LEFT,2023-10-06 17:27:12.851047,Experiment_2023-10-06T17:27:12.851047_dougie_1_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
7,HD,bonnie,8,53.0,test,Training - fixed,Positive -= RIGHT,2023-10-06 18:04:47.757500,Experiment_2023-10-06T18:04:47.757500_bonnie_53_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
8,HD,apollo,9,1.0,test,Training - fixed,Positive = LEFT,2023-10-06 18:43:55.290472,Experiment_2023-10-06T18:43:55.290472_apollo_1_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
9,HD,molly,10,2.0,test,Training - fixed,Positive = RIGHT,2023-10-06 19:32:30.778453,Experiment_2023-10-06T19:32:30.778453_molly_2_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
