ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Direction,Comment,DateTime,LogFileName
1,HD,atom,1,2.0,test,Training - fixed,LEFT,First session,2023-10-06 12:49:44.174442,Experiment_2023-10-06T12:49:44.174442_atom_2_Training - fixed.log
2,HD,ash,2,2.0,test,Training - fixed,RIGHT,Pos = Right,2023-10-06 13:21:53.770221,Experiment_2023-10-06T13:21:53.770221_ash_2_Training - fixed.log
3,HD,mowgli,3,1.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-06 14:14:41.653330,Experiment_2023-10-06T14:14:41.653330_mowgli_1_Training - fixed.log
4,HD,teddy,4,1.0,test,Training - fixed,RIGHT,Positive = RIGHT,2023-10-06 14:48:40.419276,Experiment_2023-10-06T14:48:40.419276_teddy_1_Training - fixed.log
5,HD,dodge,5,1.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-06 15:37:08.619329,Experiment_2023-10-06T15:37:08.619329_dodge_1_Training - fixed.log
6,HD,filly,6,4.0,test,Training - fixed,RIGHT,Positive = RIGHT start positive at trial 9,2023-10-06 16:43:49.516057,Experiment_2023-10-06T16:43:49.516057_filly_4_Training - fixed.log
7,HD,dougie,7,1.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-06 17:27:12.851047,Experiment_2023-10-06T17:27:12.851047_dougie_1_Training - fixed.log
8,HD,bonnie,8,53.0,test,Training - fixed,RIGHT,Positive -= RIGHT,2023-10-06 18:04:47.757500,Experiment_2023-10-06T18:04:47.757500_bonnie_53_Training - fixed.log
9,HD,apollo,9,1.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-06 18:43:55.290472,Experiment_2023-10-06T18:43:55.290472_apollo_1_Training - fixed.log
10,HD,molly,10,2.0,test,Training - fixed,RIGHT,Positive = RIGHT,2023-10-06 19:32:30.778453,Experiment_2023-10-06T19:32:30.778453_molly_2_Training - fixed.log
11,HD,bonnie,8,54.0,test,Training - fixed,RIGHT,None,2023-10-06 20:06:03.009376,Experiment_2023-10-06T20:06:03.009376_bonnie_54_Training - fixed.log
12,HD,atom,1,3.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-07 10:47:41.820683,Experiment_2023-10-07T10:47:41.820683_atom_3_Training - fixed.log
13,HD,ash,2,3.0,test,Training - fixed,RIGHT,Positive = RIGHT,2023-10-07 11:27:44.914673,Experiment_2023-10-07T11:27:44.914673_ash_3_Training - fixed.log
14,HD,mowgli,3,2.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-07 12:16:35.124984,Experiment_2023-10-07T12:16:35.124984_mowgli_2_Training - fixed.log
15,HD,teddy,4,2.0,test,Training - fixed,RIGHT,Positived = RIGHT,2023-10-07 13:42:36.274776,Experiment_2023-10-07T13:42:36.274776_teddy_2_Training - fixed.log
16,HD,dodge,5,2.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-07 14:30:16.073357,Experiment_2023-10-07T14:30:16.073357_dodge_2_Training - fixed.log
17,HD,filly,6,5.0,test,Training - fixed,RIGHT,Positive = RIGHT,2023-10-07 15:21:21.434899,Experiment_2023-10-07T15:21:21.434899_filly_5_Training - fixed.log
18,HD,dougie,7,2.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-07 16:13:17.750963,Experiment_2023-10-07T16:13:17.750963_dougie_2_Training - fixed.log
19,HD,bonnie,8,55.0,test,Training - fixed,RIGHT,Positive = RIGHT,2023-10-07 16:55:59.174334,Experiment_2023-10-07T16:55:59.174334_bonnie_55_Training - fixed.log
20,HD,apollo,9,2.0,test,Training - fixed,LEFT,Positive = RIGHT,2023-10-07 17:33:26.622301,Experiment_2023-10-07T17:33:26.622301_apollo_2_Training - fixed.log
21,HD,molly,10,3.0,test,Training - fixed,RIGHT,Positive = RIGHT  ,2023-10-07 18:06:05.305535,Experiment_2023-10-07T18:06:05.305535_molly_3_Training - fixed.log
22,HD,atom,1,5.0,test,Training randomised Type 1,LEFT,Positive = LEFT,2023-10-08 10:29:55.247254,Experiment_2023-10-08T10:29:55.247254_atom_5_Training randomised Type 1.log
23,HD,ash,2,4.0,test,Training - fixed,RIGHT,Positive = RIGHT,2023-10-08 11:03:05.275380,Experiment_2023-10-08T11:03:05.275380_ash_4_Training - fixed.log
24,HD,mowgli,3,3.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-08 11:48:24.989885,Experiment_2023-10-08T11:48:24.989885_mowgli_3_Training - fixed.log
25,HD,teddy,4,3.0,test,Training - fixed,RIGHT,Positive = RIGHT,2023-10-08 12:20:50.954677,Experiment_2023-10-08T12:20:50.954677_teddy_3_Training - fixed.log
26,HD,dodge,5,3.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-08 13:10:43.954358,Experiment_2023-10-08T13:10:43.954358_dodge_3_Training - fixed.log
27,HD,filly,6,6.0,test,Training randomised Type 1,RIGHT,Positive = RIGHT,2023-10-08 13:50:54.095550,Experiment_2023-10-08T13:50:54.095550_filly_6_Training randomised Type 1.log
28,HD,dougie,7,3.0,test,Training randomised Type 1,LEFT,Positive = LEFT,2023-10-08 15:37:37.287527,Experiment_2023-10-08T15:37:37.287527_dougie_3_Training randomised Type 1.log
29,HD,bonnie,8,56.0,test,Training - fixed,RIGHT,Positive = RIGHT ,2023-10-08 16:09:32.654028,Experiment_2023-10-08T16:09:32.654028_bonnie_56_Training - fixed.log
30,HD,apollo,9,3.0,test,Training - fixed,LEFT,Positive = LEFT,2023-10-08 17:01:24.908365,Experiment_2023-10-08T17:01:24.908365_apollo_3_Training - fixed.log
31,HD,molly,10,4.0,test,Training randomised Type 1,RIGHT,Positive = RIGHT,2023-10-08 17:40:21.611860,Experiment_2023-10-08T17:40:21.611860_molly_4_Training randomised Type 1.log
32,HD,apollo,9,4.0,test,Training randomised Type 2,LEFT,Positive = LEFT,2023-10-09 10:17:33.693352,Experiment_2023-10-09T10:17:33.693352_apollo_4_Training randomised Type 2.log
33,HD,atom,1,6.0,test,Training randomised Type 2,LEFT,Positive = LEFT,2023-10-09 11:06:00.505868,Experiment_2023-10-09T11:06:00.505868_atom_6_Training randomised Type 2.log
34,HD,ash,2,5.0,test,Training randomised Type 1,RIGHT,Positive = RIGHT,2023-10-09 11:42:20.024754,Experiment_2023-10-09T11:42:20.024754_ash_5_Training randomised Type 1.log
35,HD,mowgli,3,4.0,test,Training randomised Type 1,LEFT,Positive = LEFT,2023-10-09 12:31:10.855228,Experiment_2023-10-09T12:31:10.855228_mowgli_4_Training randomised Type 1.log
36,HD,teddy,4,4.0,test,Training randomised Type 1,RIGHT,positive = RIGHT,2023-10-09 13:08:37.841616,Experiment_2023-10-09T13:08:37.841616_teddy_4_Training randomised Type 1.log
37,HD,dodge,5,4.0,test,Training randomised Type 1,LEFT,Positive = LEFT,2023-10-09 14:28:21.463730,Experiment_2023-10-09T14:28:21.463730_dodge_4_Training randomised Type 1.log
38,HD,filly,6,8.0,test,Test Type 1,RIGHT,Positive = RIGHT,2023-10-09 15:20:02.348892,Experiment_2023-10-09T15:20:02.348892_filly_8_Test Type 1.log
