ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Comment,DateTime,LogFileName
91,CSU,gio,17,1.0,test,Training - fixed,CB  F 1,2023-11-13 00:39:24.776854,Experiment_2023-11-13T00:39:24.776854_gio_1.0_Training - fixed.log
57,HD,mowgli,3,6.0,test,Test Type 2,CB -T 2 After RP-A 3 criterion Windy. No footage of RP-A session. ,2023-10-16 11:24:59.900151,Experiment_2023-10-16T11:24:59.900151_mowgli_6_Test Type 2.log
82,HD,bonnie,8,79.0,test,Test Type 1,CB -T-4 after Rp reinstatement,2023-10-22 11:36:41.453331,Experiment_2023-10-22T11:36:41.453331_bonnie_79_Test Type 1.log
90,CSU,yoshi,15,1.0,test,Training - fixed,CB F 1,2023-11-12 23:47:07.024641,Experiment_2023-11-12T23:47:07.024641_yoshi_1.0_Training - fixed.log
88,CSU,myrtle,14,1.0,test,Training - fixed,CB F 1,2023-11-12 21:26:14.605122,Experiment_2023-11-12T21:26:14.605122_myrtle_1.0_Training - fixed.log
87,CSU,smudge,12,1.0,test,Training - fixed,CB F 1,2023-11-12 20:44:49.282652,Experiment_2023-11-12T20:44:49.282652_smudge_1.0_Training - fixed.log
86,CSU,jelly,11,1.0,test,Training - fixed,CB F 1,2023-11-12 20:05:19.027763,Experiment_2023-11-12T20:05:19.027763_jelly_1.0_Training - fixed.log
93,CSU,freya,19,,test,Training - fixed,CB F 1,2023-11-13 01:52:41.875007,Experiment_2023-11-13T01:52:41.875007_freya_nan_Training - fixed.log
95,CSU,clover,22,,test,Training - fixed,CB F 1,2023-11-13 04:02:49.575872,Experiment_2023-11-13T04:02:49.575872_clover_nan_Training - fixed.log
94,CSU,pumba,21,,test,Training - fixed,CB F 1,2023-11-13 03:05:04.626964,Experiment_2023-11-13T03:05:04.626964_pumba_nan_Training - fixed.log
92,CSU,dusty,18,1.0,test,Training - fixed,CB F 1 ,2023-11-13 01:06:46.118598,Experiment_2023-11-13T01:06:46.118598_dusty_1.0_Training - fixed.log
96,CSU,jelly,11,2.0,test,Training - fixed,CB F 2,2023-11-13 04:50:56.054932,Experiment_2023-11-13T04:50:56.054932_jelly_2.0_Training - fixed.log
72,HD,mowgli,3,8.0,test,Test Type 1,CB T -4 After reinstatement criterion,2023-10-21 11:03:39.830387,Experiment_2023-10-21T11:03:39.830387_mowgli_8_Test Type 1.log
143,CSU,myrtle,14,8.0,test,Test Type 1,CB T 1 restart test,2023-11-14 18:48:28.476282,Experiment_2023-11-14T18:48:28.476282_myrtle_8.0_Test Type 1.log
158,CSU,yoshi,15,9.0,test,Test Type 2,CB T 2 after RP A 2 acquisition,2023-11-15 18:35:59.371714,Experiment_2023-11-15T18:35:59.371714_yoshi_9.0_Test Type 2.log
159,CSU,dusty,18,8.0,test,Test Type 2,CB T 2 after RP A 3 acquisition,2023-11-15 20:13:26.521959,Experiment_2023-11-15T20:13:26.521959_dusty_8.0_Test Type 2.log
160,CSU,clover,22,,test,Test Type 2,CB T 2 after RP A 3 acqusition criterion,2023-11-15 23:18:27.463685,Experiment_2023-11-15T23:18:27.463685_clover_nan_Test Type 2.log
161,CSU,pumba,21,,test,Test Type 2,CB T 2 after RP A 4 acquisition criterion,2023-11-16 00:37:29.832581,Experiment_2023-11-16T00:37:29.832581_pumba_nan_Test Type 2.log
147,CSU,freya,19,,test,Test Type 2,"CB T 2 after RP A criterion v wi dy, rain",2023-11-14 23:17:57.967289,Experiment_2023-11-14T23:17:57.967289_freya_nan_Test Type 2.log
154,CSU,gio,17,6.0,test,Test Type 2,CB T 2 after RPA 2 aquitisiton,2023-11-15 05:22:53.513691,Experiment_2023-11-15T05:22:53.513691_gio_6.0_Test Type 2.log
156,CSU,smudge,12,8.0,test,Test Type 2,CB T 2 after acquisition RP A 4 ,2023-11-15 16:42:36.211643,Experiment_2023-11-15T16:42:36.211643_smudge_8.0_Test Type 2.log
62,HD,bonnie,8,77.0,test,Test Type 2,CB T 2 after reaching RP-A 3 criterion,2023-10-17 14:37:07.416285,Experiment_2023-10-17T14:37:07.416285_bonnie_77_Test Type 2.log
63,HD,dodge,5,6.0,test,Test Type 2,"CB T 2, after reaching criterion in RP-A 3",2023-10-17 15:27:19.799243,Experiment_2023-10-17T15:27:19.799243_dodge_6_Test Type 2.log
177,CSU,pumba,21,,test,Test Type 3,CB T 3 after RP E,2023-11-17 00:36:27.593791,Experiment_2023-11-17T00:36:27.593791_pumba_nan_Test Type 3.log
178,CSU,clover,22,,test,Test Type 3,CB T 3 after RP E,2023-11-17 01:23:36.375164,Experiment_2023-11-17T01:23:36.375164_clover_nan_Test Type 3.log
175,CSU,yoshi,15,10.0,test,Test Type 3,CB T 3 after RP E,2023-11-16 22:01:25.798273,Experiment_2023-11-16T22:01:25.798273_yoshi_10.0_Test Type 3.log
165,CSU,gio,17,7.0,test,Test Type 3,CB T 3 after RP E,2023-11-16 09:54:53.813828,Experiment_2023-11-16T09:54:53.813828_gio_7.0_Test Type 3.log
176,CSU,dusty,18,9.0,test,Test Type 3,CB T 3 after RP E ,2023-11-16 23:55:33.357304,Experiment_2023-11-16T23:55:33.357304_dusty_9.0_Test Type 3.log
