SessionType,ExperimentID,TrialID,ResponseID,ResponseTime,TrialNumber,TrialSubType,Direction,CriterionType,CriterionCount,TrialStartTime,TrialEndTime
test,180,3112,1712,12.549603,1,P,LEFT,positive,1.0,2023-11-17 03:27:32.592498,2023-11-17 03:28:27.394990
test,180,3116,1713,12.496944,5,P,LEFT,positive,2.0,2023-11-17 03:31:32.410302,2023-11-17 03:32:40.175333
test,180,3117,1714,12.623351,6,P,LEFT,positive,3.0,2023-11-17 03:32:52.798700,2023-11-17 03:33:52.979123
test,180,3120,1715,13.826584,9,P,LEFT,positive,4.0,2023-11-17 03:35:55.551389,2023-11-17 03:36:56.291646
test,180,3123,1716,12.314726,12,P,LEFT,positive,5.0,2023-11-17 03:39:13.690105,2023-11-17 03:40:09.744250
test,180,3125,1717,12.251616,14,P,LEFT,positive,6.0,2023-11-17 03:41:23.605277,2023-11-17 03:42:12.302234


/* Purpose:
Retrieve detailed response information for a specific log file
*/

/* SQL Query:
Experiment_2023-11-17T03:22:54.109367_yoshi_11.0_Test TYPE 1.log
*/
