ExperimentID,TrialID,TrialNumber,TrialStartTime,TrialEndTime,ResponseType,TrialSubType,CriterionType,CriterionCount
84,1456,1,2023-10-22 12:35:27.092594,2023-10-22 12:36:38.469121,GO,P,positive,1.0
84,1457,2,2023-10-22 12:37:08.469104,2023-10-22 12:37:31.591232,NOGO,N,negative,1.0
84,1458,3,2023-10-22 12:37:41.865534,2023-10-22 12:38:08.135470,GO,M,,
84,1459,4,2023-10-22 12:38:19.367658,2023-10-22 12:38:39.828845,GO,N,,
84,1460,5,2023-10-22 12:38:49.195317,2023-10-22 12:39:46.940326,GO,P,positive,2.0
84,1461,6,2023-10-22 12:39:55.864674,2023-10-22 12:41:30.654673,GO,P,positive,3.0
84,1462,7,2023-10-22 12:42:00.655454,2023-10-22 12:42:32.825372,NOGO,N,negative,2.0
84,1463,8,2023-10-22 12:42:41.139007,2023-10-22 12:43:06.403118,GO,NP,,
84,1464,9,2023-10-22 12:43:15.052695,2023-10-22 12:44:19.384874,GO,P,positive,4.0
84,1465,10,2023-10-22 12:44:33.059187,2023-10-22 12:44:48.622427,GO,N,,
84,1466,11,2023-10-22 12:45:18.622432,2023-10-22 12:45:43.060846,NOGO,N,negative,3.0
84,1467,12,2023-10-22 12:45:52.188859,2023-10-22 12:47:14.116034,GO,P,positive,5.0
84,1468,13,2023-10-22 12:47:24.434896,2023-10-22 12:48:37.477658,GO,NN,,
84,1469,14,2023-10-22 12:48:47.062104,2023-10-22 12:50:14.504576,GO,P,positive,6.0
84,1470,15,2023-10-22 12:50:29.638010,2023-10-22 12:50:29.638010,GO,N,,


/* Purpose:
Retrieve trial details for a specific log file
*/

/* SQL Query:
Experiment_2023-10-22T12:32:10.229170_apollo_10_Test TYPE 1.log
*/
